Epoch,Train Loss,Val Loss,BLEU-4
0,5.215522978004086,4.3358436825274085,0.12762839095178857
1,4.126193686012926,3.866416676015679,0.17879471903126815
2,3.784043566683081,3.6147183431961025,0.2062848383072051
3,3.577214555189545,3.4516062978418303,0.22789686778099066
4,3.4324881620138306,3.334594403543165,0.24275290668906938
5,3.322002289313574,3.241434464954478,0.2505653657014785
6,3.2327882390726566,3.1685933100478563,0.26285478490222675
7,3.1589536126594546,3.1061466818587085,0.26781160889280087
8,3.095866715529899,3.054685232440488,0.2763272833898753
9,3.040923509376503,3.008940911096683,0.2767629303382185
10,2.9920591686870557,2.969733219252718,0.28091548368380137
11,2.948540663148009,2.936078001767161,0.2847262808800917
12,2.908954601136712,2.9038467111943618,0.2849876873948313
13,2.873041907641656,2.8757828816508204,0.28942624869613937
14,2.840242526801967,2.8514877956262583,0.28993847580810084
15,2.8100573841161283,2.8292169552431923,0.2943681937365565
16,2.781890435342795,2.8092988864727575,0.29641521708595087
17,2.7560450960509884,2.7905074577113465,0.29532034114801503
18,2.731290653403274,2.773300846884784,0.29797248683699945
19,2.7082470300192316,2.7578241915270856,0.29773606340995223
20,2.6866753822382776,2.743105588070235,0.30156806320100044
21,2.666691332490988,2.7319848473394024,0.3014685326974754
22,2.647446369793881,2.7183742826482686,0.29981974506332504
23,2.629057533114747,2.708829850404013,0.29819285523427425
24,2.6118701051070357,2.697393745581881,0.3003683908631186
25,2.595389141398871,2.6887593229697497,0.2999537997126199
26,2.579460161747625,2.6803948262369373,0.2997668909599713
27,2.564764351532224,2.6713174670265096,0.30060491238532067
28,2.5503001320362317,2.663802363446093,0.299843898612977
29,2.536099062462241,2.6548901191954513,0.3010408879056361
30,2.523246356328069,2.6498911863056946,0.30061065126584935
31,2.5105530444794466,2.642845703027246,0.30273225026493417
32,2.498281279144663,2.636995947350508,0.3036231994945673
33,2.48660323820736,2.6311837390828896,0.29836616283074135
