Epoch,Train Loss,Val Loss,BLEU-4
1,5.244487142746893,4.868455158031424,0.0101686889288742
2,4.494085606415278,4.092433564047395,0.0877018429924716
3,3.908908194437617,3.7307159843667477,0.13203021474994983
4,3.649372711801389,3.5435239012086766,0.15725032901417904
5,3.497022302315731,3.42299081132196,0.17667833092769356
6,3.3889387669800133,3.330646871329021,0.19182924138859664
7,3.3015299856876417,3.2510598349592197,0.2034867450727735
8,3.2253201219735836,3.185677719238213,0.21020555665530902
9,3.1624575173231406,3.133216695399691,0.21494083289253385
10,3.1097522226265255,3.088599213557229,0.22125728877679365
11,3.0646024393195637,3.0498842600010145,0.22632681463958362
12,3.0241618238167436,3.0164746268433977,0.22901873950365648
13,2.988441102379059,2.9862946818331846,0.23347490371042673
14,2.9566363360792214,2.960814225318154,0.23519920760820373
15,2.927883318154336,2.937310933494888,0.2384271931920602
16,2.9019227515101003,2.9166517957676854,0.23929568707468488
17,2.877525285285897,2.897854584740956,0.2406480915151072
18,2.854996479686804,2.8805035610722056,0.24306150310657793
19,2.8344843579225416,2.8635001354693337,0.24360734063066466
20,2.8150655945081087,2.8500186131995027,0.24608566152731523
21,2.7973303744391944,2.8363035212053407,0.24754981880556143
22,2.780328540799544,2.823690521199516,0.24776789378859043
23,2.764315957669764,2.8115606108586393,0.25010408539373097
24,2.7490168162102475,2.8026787756424762,0.251487294596767
25,2.734804823297768,2.792076050353544,0.2536591244222412
26,2.7212434684748605,2.781465155677829,0.2564473335839578
27,2.70859066958647,2.7727626584707963,0.2549709591002154
28,2.6962524398678576,2.7641611163866093,0.2556110555604832
29,2.684919995241582,2.7576716468518536,0.2544427225051741
30,2.6738287360926862,2.751326562804151,0.25562238087976324
31,2.6634781168369988,2.7442470406269757,0.25365361412793247
32,2.6533835556828733,2.7373652595824414,0.2560389552239315
33,2.6437555758020306,2.7327712337643044,0.25546936884899457
34,2.634428490891836,2.726072014154953,0.2559370737355552
35,2.6259693552709256,2.720496410239636,0.2582662838463413
36,2.6171201896232748,2.7154169506217265,0.25448168305317154
37,2.6087812994313326,2.711548927505687,0.2595897741487184
38,2.600965308779042,2.70623135387521,0.25853645070516923
39,2.59352575519866,2.7018588840356212,0.25662026520318904
40,2.5862652985375223,2.6979538108020167,0.2594811545094407
41,2.579145384479386,2.6941826500232686,0.25722093804082097
42,2.5726808668304257,2.6908422412179953,0.2580484505258292
43,2.5654954566514667,2.688212000590735,0.2602473075730205
44,2.5594420137830842,2.6843962152007865,0.2585723785207216
45,2.553224308585904,2.6800513320321078,0.2601355569262164
46,2.547188401951235,2.6774603651230824,0.25898595247145606
47,2.541409275553974,2.6747285305400483,0.2575223033584289
48,2.5359183123554523,2.672191436774746,0.25969374546234325
49,2.5303262009851863,2.6699410141767754,0.26010095865560656
50,2.5248902176335735,2.6666984365380446,0.2600781080768433
51,2.5199294524632894,2.664499639063666,0.2575605595575602
52,2.5150234627094004,2.6633871264468,0.25910972706142227
53,2.5101052651762683,2.6601642212860495,0.25765995237429506
54,2.5054121163302656,2.6564280150309734,0.2582955263576363
55,2.5009481651655534,2.655539843545616,0.2573972889218928
56,2.4964549539227194,2.6548895345390333,0.2608869904359026
57,2.4919533764268533,2.652786585412895,0.25657600116022766
58,2.487643277833545,2.653272972944172,0.256202903595481
59,2.4837796199371076,2.649489685510611,0.2572766273022077
60,2.4798111267757297,2.647386986221676,0.25545086220600055
61,2.475902485520969,2.6464476542496858,0.25774156879394844
62,2.4718551023281137,2.645640005317725,0.25622401047108934
63,2.4683935147656295,2.646503602418528,0.25539890987214214
64,2.4647143805728993,2.642158380865889,0.25764316196143094
65,2.4609984329009547,2.641192774773788,0.2573806057205705
66,2.457576328648575,2.6409373795794595,0.2535229962156758
67,2.45450446065432,2.638381235832275,0.26007960013243303
68,2.450705164753275,2.637965746193545,0.25885308451585115
69,2.447484171168256,2.6365663520893508,0.2555876986702284
70,2.444838767706931,2.636715225839039,0.25553101060635786
71,2.4414288754063804,2.6349850986904975,0.25593775906380856
72,2.43865000075938,2.634827045968485,0.2530170059679366
73,2.4354444596832088,2.633765717647702,0.2535166248445847
74,2.432649433078093,2.631969261809944,0.25581586564227465
75,2.429758571443799,2.633408817254049,0.2574246697912899
76,2.427030995041603,2.6327642084092577,0.2540368676679036
77,2.42427311892868,2.6316865338232245,0.2532326577397371
78,2.4216387200823757,2.6317221297723665,0.2548013185156797
79,2.4190603539847597,2.629662699957512,0.2558764987405982
80,2.4166535632106223,2.6306895720565064,0.25552864230818806
81,2.414253957857818,2.6303191952656966,0.25316429149988323
82,2.411930971154554,2.628765462618552,0.2569310852486247
83,2.409404079464436,2.6285584463035785,0.25414562490901543
84,2.4071599461222433,2.6277510279553815,0.25472134472534674
85,2.404788287702337,2.6283402256688464,0.2556065855727311
86,2.4024587548405423,2.625745938761568,0.2556262189733542
87,2.400421626388563,2.627173208814831,0.25264977662158167
88,2.3978133304672316,2.6278991931785045,0.2549104137207931
89,2.396274735753683,2.6259570623498325,0.255801076318256
90,2.3941312354428974,2.6265528471605033,0.2553660623134165
91,2.3921854428137874,2.6254091388631937,0.25601114349627635
92,2.390277893766921,2.6250483389046395,0.25488643270103684
93,2.3883825873213773,2.624910865135403,0.2553422575831419
94,2.386309628341094,2.626002520234634,0.2565325113288452
95,2.3844361081977037,2.6254429458056343,0.25219136289025285
96,2.382853055361963,2.6250962884704245,0.2560799983098389
97,2.3806900868019745,2.6256414217524577,0.252811937168316
98,2.379140792720341,2.624560351851004,0.2556875957578445
99,2.3774761438458896,2.6246939570514707,0.2526663339871298
100,2.3757676921381012,2.6244517597275654,0.2543887091818259
101,2.374065239871325,2.624102844192683,0.25531819064925376
102,2.3723338690549634,2.6247532826357536,0.2537154005406072
103,2.370846708342569,2.625845848308285,0.25330502908427316
104,2.3692258149500343,2.625361040817173,0.2537760256342238
105,2.367737936802186,2.625179788463358,0.25282438180836514
106,2.3659794227941746,2.624365135320821,0.25500946583044015
107,2.3642195883886474,2.6258328286560833,0.2555222754761295
